capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-06-18 19:05:28,0.94,1.22,17.71,26.51
2018-06-18 19:20:28,0.94,0.91,17.59,26.15
2018-06-18 19:35:28,0.94,0.54,17.21,25.92
2018-06-18 19:50:28,0.94,0.18,17.46,25.83
2018-06-18 20:05:28,0.94,0.1,17.58,25.83
2018-06-18 20:20:28,0.94,0.1,17.71,25.61
2018-06-18 20:35:28,0.94,0.1,17.58,25.34
2018-06-18 20:50:28,0.94,0.1,17.58,25.02
2018-06-18 21:05:28,0.94,0.1,17.45,24.89
2018-06-18 21:20:28,0.94,0.1,17.32,24.79
2018-06-18 21:35:28,0.94,0.1,17.58,24.57
2018-06-18 21:50:28,0.94,0.1,17.57,24.29
2018-06-18 22:05:28,0.94,0.1,17.45,24.16
2018-06-18 22:20:28,0.94,0.1,17.45,23.83
2018-06-18 22:35:28,0.94,0.1,17.44,23.65
2018-06-18 22:50:28,0.94,0.1,17.57,23.56
2018-06-18 23:05:28,0.94,0.1,17.06,23.33
2018-06-18 23:20:28,0.94,0.1,16.94,23.1
2018-06-18 23:35:28,0.94,0.1,17.06,23.1
2018-06-18 23:50:28,0.94,0.1,17.44,22.91
2018-06-19 00:05:28,0.94,0.1,17.31,23.14
2018-06-19 00:20:28,0.94,0.1,17.19,22.72
2018-06-19 00:35:28,0.94,0.1,17.44,22.49
2018-06-19 00:50:28,0.94,0.1,17.18,22.21
2018-06-19 01:05:28,0.94,0.1,16.93,22.21
2018-06-19 01:20:28,0.94,0.1,17.06,22.12
2018-06-19 01:35:28,0.94,0.1,17.44,21.93
2018-06-19 01:50:28,0.94,0.1,16.93,21.79
2018-06-19 02:05:28,0.94,0.1,16.8,21.69
2018-06-19 02:20:28,0.94,0.1,16.8,21.69
2018-06-19 02:35:28,0.94,0.1,17.18,21.5
2018-06-19 02:50:28,0.94,0.1,16.93,21.5
2018-06-19 03:05:28,0.94,0.1,17.18,21.6
2018-06-19 03:20:28,0.94,0.1,17.18,21.55
2018-06-19 03:35:28,0.94,0.1,17.31,21.69
2018-06-19 03:50:28,0.94,0.1,17.05,21.69
2018-06-19 04:05:28,0.94,0.1,17.05,21.79
2018-06-19 04:20:28,0.94,0.1,17.05,21.83
2018-06-19 04:35:28,0.94,0.1,16.8,21.74
2018-06-19 04:50:28,0.94,0.1,16.93,21.69
2018-06-19 05:05:28,0.94,0.1,17.05,21.64
2018-06-19 05:20:28,0.94,0.1,16.92,21.69
2018-06-19 05:35:28,0.94,0.23,16.8,21.69
2018-06-19 05:50:28,0.94,0.4,16.92,21.64
2018-06-19 06:05:28,0.94,0.66,16.67,21.74
2018-06-19 06:20:28,0.94,1.21,17.05,21.79
2018-06-19 06:35:28,0.94,1.22,17.05,21.93
2018-06-19 06:50:28,0.94,3.01,16.54,21.93
2018-06-19 07:05:28,0.94,4.59,16.92,22.63
2018-06-19 07:20:25,0.94,7.32,16.8,22.54
2018-06-19 07:35:25,0.94,9.1,17.05,23.1
2018-06-19 07:50:25,0.94,5.01,16.92,22.58
2018-06-19 08:05:25,0.94,5.93,16.8,22.58
2018-06-19 08:20:25,0.94,8.27,16.54,23.6
2018-06-19 08:35:25,0.94,7.9,16.42,23.74
2018-06-19 08:50:25,0.94,9.81,16.8,24.06
2018-06-19 09:05:25,0.94,13.35,16.29,24.61
2018-06-19 09:20:25,0.94,16.79,16.54,25.65
2018-06-19 09:35:25,0.94,24.34,16.8,27.18
2018-06-19 09:50:25,0.94,32.8,16.67,29.48
2018-06-19 10:05:25,0.94,102.32,16.42,35.59
2018-06-19 10:20:25,0.94,24.17,16.68,30.19
2018-06-19 10:35:25,0.94,27.7,16.17,29.92
2018-06-19 10:50:25,0.94,29.91,16.81,29.17
2018-06-19 11:05:25,0.94,33.11,16.56,30.45
2018-06-19 11:20:25,0.94,42.31,16.18,34.41
2018-06-19 11:35:25,0.88,130.53,32.47,38.46
2018-06-19 11:50:25,0.88,133.57,31.79,39.41
2018-06-19 12:05:25,0.88,129.05,31.45,39.56
2018-06-19 12:20:25,0.88,135.15,30.87,42.16
2018-06-19 12:35:25,0.88,135.15,30.63,40.97
2018-06-19 12:50:25,0.88,20.13,30.39,31.07
2018-06-19 13:05:25,0.88,21.38,30.37,29.22
2018-06-19 13:20:25,0.88,27.78,29.78,29.17
2018-06-19 13:35:25,0.88,28.23,30.0,29.92
2018-06-19 13:50:25,0.88,29.25,29.64,30.54
2018-06-19 14:05:25,0.88,26.85,29.4,30.41
2018-06-19 14:20:25,0.88,24.46,29.38,30.32
2018-06-19 14:35:25,0.88,18.0,29.14,30.63
2018-06-19 14:50:25,0.88,20.24,28.89,30.28
2018-06-19 15:05:25,0.88,20.36,28.88,30.36
2018-06-19 15:20:25,0.88,19.44,28.53,30.28
2018-06-19 15:35:25,0.88,19.22,28.52,30.41
2018-06-19 15:50:25,0.88,18.63,28.05,30.32
2018-06-19 16:05:25,0.88,17.57,27.92,30.19
2018-06-19 16:20:25,0.88,16.25,28.15,29.66
2018-06-19 16:35:25,0.88,14.85,28.03,29.17
2018-06-19 16:50:25,0.88,13.28,27.67,28.55
2018-06-19 17:05:25,0.88,12.12,27.31,28.29
2018-06-19 17:20:25,0.88,9.62,27.19,27.84
2018-06-19 17:35:24,0.88,6.93,27.42,27.04
2018-06-19 17:50:24,0.88,6.95,27.41,27.0
2018-06-19 18:05:24,0.88,2.71,27.17,25.47
2018-06-19 18:20:24,0.88,2.53,27.05,24.79
2018-06-19 18:35:24,0.88,1.96,26.68,24.48
2018-06-19 18:50:24,0.88,1.48,27.03,24.16
2018-06-19 19:05:24,0.88,1.12,26.67,24.02
2018-06-19 19:20:24,0.88,0.87,26.43,23.79
2018-06-19 19:35:24,0.88,0.49,26.66,23.65
2018-06-19 19:50:24,0.88,0.21,26.54,23.47
2018-06-19 20:05:24,0.88,0.1,26.42,23.28
2018-06-19 20:20:24,0.88,0.1,26.18,23.14
2018-06-19 20:35:24,0.88,0.1,26.3,23.14
2018-06-19 20:50:24,0.88,0.1,26.29,23.1
2018-06-19 21:05:24,0.88,0.1,26.17,23.0
2018-06-19 21:20:24,0.88,0.1,25.93,22.91
2018-06-19 21:35:24,0.88,0.1,26.05,22.82
2018-06-19 21:50:24,0.88,0.1,25.81,22.72
2018-06-19 22:05:24,0.88,0.1,25.81,22.72
2018-06-19 22:20:24,0.88,0.1,25.69,22.63
2018-06-19 22:35:24,0.88,0.1,25.68,22.63
2018-06-19 22:50:24,0.88,0.1,25.8,22.68
2018-06-19 23:05:24,0.88,0.1,25.92,22.68
2018-06-19 23:20:24,0.88,0.1,25.68,22.63
2018-06-19 23:35:24,0.88,0.1,25.91,22.63
2018-06-19 23:50:24,0.88,0.1,25.67,22.54
2018-06-20 00:05:24,0.88,0.1,25.44,22.54
2018-06-20 00:20:24,0.88,0.1,25.43,22.35
2018-06-20 00:35:24,0.88,0.1,25.67,22.35
2018-06-20 00:50:24,0.88,0.1,25.19,22.21
2018-06-20 01:05:24,0.88,0.1,25.07,22.16
2018-06-20 01:20:24,0.88,0.1,25.19,22.12
2018-06-20 01:35:24,0.88,0.1,25.07,22.07
2018-06-20 01:50:24,0.88,0.1,25.19,22.02
2018-06-20 02:05:24,0.88,0.1,24.95,21.97
2018-06-20 02:20:24,0.88,0.1,25.06,22.02
2018-06-20 02:35:24,0.88,0.1,25.18,22.16
2018-06-20 02:50:24,0.88,0.1,25.06,22.26
2018-06-20 03:05:24,0.88,0.1,25.06,22.16
2018-06-20 03:20:24,0.88,0.1,24.7,22.07
2018-06-20 03:35:23,0.88,0.1,24.94,21.79
2018-06-20 03:50:23,0.88,0.1,24.7,21.74
2018-06-20 04:05:23,0.88,0.1,24.46,21.69
2018-06-20 04:20:23,0.88,0.1,24.7,21.69
2018-06-20 04:35:23,0.88,0.1,24.58,21.74
2018-06-20 04:50:23,0.88,0.1,24.7,21.64
2018-06-20 05:05:23,0.88,0.1,24.81,21.6
2018-06-20 05:20:23,0.88,0.2,24.57,21.6
2018-06-20 05:35:23,0.88,0.56,24.69,21.55
2018-06-20 05:50:23,0.88,1.02,24.69,21.45
2018-06-20 06:05:23,0.88,1.37,24.45,21.41
2018-06-20 06:20:23,0.88,1.68,24.33,21.36
2018-06-20 06:35:23,0.88,3.69,24.21,22.12
2018-06-20 06:50:23,0.88,3.47,24.33,22.49
2018-06-20 07:05:23,0.88,4.64,23.97,22.68
2018-06-20 07:20:23,0.88,3.19,24.09,22.58
2018-06-20 07:35:23,0.88,3.91,24.33,22.72
2018-06-20 07:50:23,0.88,3.25,24.45,22.68
2018-06-20 08:05:23,0.88,3.77,24.09,22.72
2018-06-20 08:20:23,0.88,4.63,24.09,22.91
2018-06-20 08:35:23,0.88,5.4,23.85,23.14
2018-06-20 08:50:23,0.88,5.89,24.09,23.28
2018-06-20 09:05:23,0.88,4.61,23.73,23.0
2018-06-20 09:20:23,0.88,6.66,23.73,23.7
2018-06-20 09:35:23,0.88,8.96,23.85,23.33
2018-06-20 09:50:23,0.88,12.41,23.73,23.37
2018-06-20 10:05:23,0.88,10.89,23.61,24.34
2018-06-20 10:20:23,0.88,7.45,23.73,23.56
2018-06-20 10:35:23,0.88,8.27,23.36,23.56
2018-06-20 10:50:23,0.88,8.76,23.72,23.51
2018-06-20 11:05:23,0.88,7.22,23.48,23.33
2018-06-20 11:20:23,0.88,9.21,23.72,23.7
