Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Snowfall amount raw  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc]
2018,06,14,00,00,14.66,81.00,1017.40,0.00,0.00,29.70,99.00,0.00,0.00,0.00,0.00,17.31,3.58,21.63,2.86,3.32,77.47,14.04
2018,06,14,01,00,14.53,80.00,1017.70,0.00,0.00,30.00,100.00,0.00,0.00,0.00,0.00,14.21,8.75,27.24,7.59,0.80,26.57,13.68
2018,06,14,02,00,13.86,80.00,1016.60,0.00,0.00,30.00,100.00,0.00,0.00,0.00,0.00,11.09,13.13,24.37,12.80,1.61,333.43,10.08
2018,06,14,03,00,13.54,81.00,1016.40,0.00,0.00,53.00,100.00,53.00,0.00,0.00,0.00,11.04,19.03,23.80,17.61,2.60,326.31,9.00
2018,06,14,04,00,12.24,88.00,1016.30,0.00,0.00,62.00,48.00,62.00,0.00,0.00,0.00,11.84,19.54,26.18,18.43,3.56,315.00,7.56
2018,06,14,05,00,12.90,86.00,1015.50,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,10.50,22.17,21.42,24.84,3.71,299.05,6.12
2018,06,14,06,00,11.68,91.00,1015.20,0.00,0.00,27.00,18.00,27.00,0.00,34.24,0.00,10.31,24.78,16.70,37.12,3.40,302.01,6.12
2018,06,14,07,00,12.32,91.00,1016.10,0.00,0.00,7.50,25.00,4.00,0.00,55.21,37.38,9.90,19.09,10.51,38.05,2.60,303.69,9.00
2018,06,14,08,00,17.20,65.00,1015.90,0.00,0.00,6.00,20.00,0.00,0.00,56.17,204.70,5.96,25.02,5.90,52.43,2.90,299.74,7.20
2018,06,14,09,00,20.75,49.00,1015.50,0.00,0.00,34.00,16.00,34.00,0.00,38.30,384.48,2.74,23.20,1.80,36.87,4.02,296.57,1.80
2018,06,14,10,00,24.40,41.00,1015.80,0.00,0.00,34.00,17.00,34.00,0.00,38.30,552.69,3.40,32.01,4.33,41.63,4.33,311.63,1.08
2018,06,14,11,00,27.35,36.00,1015.30,0.00,0.00,34.00,23.00,34.00,0.00,38.30,694.20,1.08,360.00,0.72,360.00,5.76,360.00,2.16
2018,06,14,12,00,29.67,32.00,1014.70,0.00,0.00,2.40,8.00,0.00,0.00,58.47,807.23,1.84,348.69,2.97,14.04,9.34,27.55,11.88
2018,06,14,13,00,31.63,25.00,1015.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,899.79,13.90,16.56,16.85,19.98,18.58,31.53,17.64
2018,06,14,14,00,31.92,28.00,1014.60,0.00,0.00,0.00,0.00,0.00,0.00,60.00,927.38,16.60,356.27,16.92,360.00,17.87,27.60,23.04
2018,06,14,15,00,31.14,32.00,1014.60,0.00,0.00,0.00,0.00,0.00,0.00,60.00,906.02,22.66,342.43,23.34,342.96,21.76,38.96,28.44
2018,06,14,16,00,29.54,35.00,1014.60,0.00,0.00,0.00,0.00,0.00,0.00,60.00,835.71,27.35,339.18,29.83,340.25,30.59,47.86,29.16
2018,06,14,17,00,28.14,39.00,1014.40,0.00,0.00,4.80,16.00,0.00,0.00,56.94,722.68,30.63,342.20,34.28,342.90,27.25,43.39,33.48
2018,06,14,18,00,26.48,42.00,1013.80,0.00,0.00,30.00,100.00,0.00,0.00,40.85,549.13,32.05,345.03,37.37,346.63,27.76,43.42,32.76
2018,06,14,19,00,25.27,45.00,1013.70,0.00,0.00,90.00,100.00,90.00,0.00,2.55,358.67,29.66,349.51,35.39,350.63,31.36,48.26,32.04
2018,06,14,20,00,24.02,47.00,1014.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,196.69,27.83,354.81,34.27,356.39,32.86,47.22,27.36
2018,06,14,21,00,22.37,50.00,1013.80,0.00,0.00,100.00,100.00,100.00,0.00,0.00,49.84,25.20,360.00,31.68,0.65,32.68,49.47,28.08
2018,06,14,22,00,20.83,53.00,1013.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.51,7.35,30.24,8.90,27.00,53.13,29.16
2018,06,14,23,00,20.92,49.00,1014.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.78,14.04,31.17,14.04,26.87,57.59,23.04
2018,06,15,00,00,20.44,48.00,1014.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.21,18.43,30.76,20.56,26.46,56.09,17.64
2018,06,15,01,00,18.97,52.00,1014.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.65,23.03,29.63,25.94,22.71,64.65,18.36
2018,06,15,02,00,17.60,56.00,1014.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.85,24.57,28.40,30.47,20.62,77.91,14.04
2018,06,15,03,00,16.66,60.00,1014.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.36,27.26,30.26,32.37,20.83,80.05,14.40
2018,06,15,04,00,16.07,65.00,1013.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.73,28.74,29.08,31.33,18.75,86.70,13.32
2018,06,15,05,00,15.84,70.00,1013.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.09,31.50,30.15,33.31,18.72,88.90,15.48
2018,06,15,06,00,15.83,74.00,1013.40,0.00,0.00,0.00,0.00,0.00,0.00,48.02,0.00,13.48,34.11,31.35,34.24,18.06,85.43,15.12
2018,06,15,07,00,18.01,68.00,1013.30,0.00,0.00,0.00,0.00,0.00,0.00,60.00,31.15,14.19,35.71,30.06,34.26,16.26,84.92,14.40
2018,06,15,08,00,22.67,53.00,1013.60,0.00,0.00,0.00,0.00,0.00,0.00,60.00,189.57,14.69,36.03,26.65,38.42,15.27,81.87,12.60
2018,06,15,09,00,27.09,39.00,1013.70,0.00,0.00,0.00,0.00,0.00,0.00,60.00,372.02,19.73,38.33,25.36,38.66,13.49,80.79,21.24
2018,06,15,10,00,30.09,34.00,1013.40,0.00,0.00,0.00,0.00,0.00,0.00,60.00,547.35,13.28,32.83,15.28,34.44,12.43,79.99,11.88
2018,06,15,11,00,32.86,26.00,1013.20,0.00,0.00,0.00,0.00,0.00,0.00,60.00,698.65,11.48,48.81,14.80,48.95,12.30,69.44,8.64
2018,06,15,12,00,32.36,30.00,1013.40,0.00,0.00,0.00,0.00,0.00,0.00,60.00,818.80,9.22,141.34,9.59,124.29,12.82,51.84,16.56
2018,06,15,13,00,34.08,24.00,1013.80,0.00,0.00,0.00,0.00,0.00,0.00,60.00,897.12,6.29,336.37,6.16,353.29,8.21,15.26,11.88
2018,06,15,14,00,34.43,25.00,1013.40,0.00,0.00,0.00,0.00,0.00,0.00,60.00,925.60,11.18,326.82,8.40,329.04,8.21,15.26,16.92
2018,06,15,15,00,34.08,27.00,1013.60,0.00,0.00,0.00,0.00,0.00,0.00,60.00,904.24,19.52,337.22,19.01,335.38,10.03,21.04,23.40
2018,06,15,16,00,31.84,33.00,1013.40,0.00,0.00,0.00,0.00,0.00,0.00,60.00,833.93,27.10,343.01,28.93,343.37,10.97,23.20,24.84
2018,06,15,17,00,30.05,37.00,1013.20,0.00,0.00,0.00,0.00,0.00,0.00,60.00,726.24,28.55,346.14,31.71,347.54,11.21,42.40,25.56
